iter	Passed	Remaining
1459	6439	59718
1460	6443	59709
1461	6447	59700
1462	6452	59706
1463	6456	59698
1464	6460	59689
1465	6464	59680
1466	6469	59684
1467	6473	59677
1468	6477	59667
1469	6481	59658
1470	6490	59697
1471	6496	59699
1472	6501	59701
1473	6505	59700
1474	6509	59691
1475	6513	59680
1476	6520	59695
1477	6524	59688
1478	6528	59679
1479	6532	59673
1480	6536	59664
1481	6540	59656
1482	6544	59646
1483	6547	59636
1484	6551	59626
1485	6555	59616
1486	6559	59607
1487	6563	59597
1488	6567	59590
1489	6570	59579
1490	6574	59570
1491	6578	59560
1492	6582	59553
1493	6586	59544
1494	6590	59535
1495	6594	59526
1496	6598	59517
1497	6602	59507
1498	6605	59497
1499	6609	59488
1500	6613	59478
1501	6617	59471
1502	6621	59462
1503	6625	59452
1504	6629	59443
1505	6633	59433
1506	6636	59424
1507	6641	59420
1508	6645	59411
1509	6649	59403
1510	6653	59394
1511	6656	59384
1512	6660	59375
1513	6665	59371
1514	6669	59361
1515	6673	59353
1516	6676	59344
1517	6681	59340
1518	6685	59331
1519	6689	59321
1520	6692	59312
1521	6696	59303
1522	6700	59294
1523	6704	59284
1524	6708	59274
1525	6712	59267
1526	6716	59258
1527	6720	59250
1528	6724	59241
1529	6727	59232
1530	6731	59224
1531	6735	59214
1532	6739	59205
1533	6743	59195
1534	6747	59187
1535	6751	59177
1536	6754	59167
1537	6758	59157
1538	6762	59147
1539	6766	59138
1540	6770	59130
1541	6774	59121
1542	6777	59112
1543	6781	59104
1544	6785	59095
1545	6789	59086
1546	6793	59077
1547	6797	59070
1548	6801	59061
1549	6805	59052
1550	6809	59043
1551	6812	59034
1552	6816	59024
1553	6820	59016
1554	6824	59006
1555	6830	59017
1556	6834	59008
1557	6838	58999
1558	6842	58990
1559	6850	59016
1560	6854	59009
1561	6858	59000
1562	6864	59013
1563	6868	59007
1564	6872	58998
1565	6876	58989
1566	6882	58999
1567	6886	58991
1568	6890	58982
1569	6895	58987
1570	6900	58983
1571	6904	58975
1572	6907	58965
1573	6914	58978
1574	6918	58969
1575	6922	58961
1576	6926	58956
1577	6930	58951
1578	6934	58944
1579	6938	58937
1580	6942	58929
1581	6947	58930
1582	6951	58921
1583	6955	58913
1584	6960	58914
1585	6965	58913
1586	6969	58904
1587	6973	58894
1588	6979	58902
